x,y,z,dist
297.653351,106.003456,-493.143341,1430.000000
301.634155,106.084099,-492.441589,1434.000000
304.247772,106.137939,-491.980621,1435.000000
305.539520,106.164665,-491.752777,1439.000000
311.840729,106.297409,-490.640564,1443.000000
313.066437,106.323868,-490.424072,1445.000000
316.681732,106.402435,-489.785217,1449.000000
319.044891,106.454422,-489.367371,1450.000000
320.205750,106.478958,-489.162079,1453.000000
322.495117,106.524788,-488.757172,1456.000000
326.952850,106.608490,-487.968384,1458.000000
328.038757,106.627899,-487.776154,1459.000000
329.114166,106.646492,-487.585785,1462.000000
332.280457,106.700394,-487.025177,1464.000000
333.312958,106.718208,-486.842194,1465.000000
334.334900,106.735832,-486.660645,1469.000000
339.288879,106.824265,-485.766968,1471.000000
340.247620,106.842598,-485.589050,1472.000000
342.136688,106.880486,-485.229736,1474.000000
343.987091,106.919662,-484.863525,1475.000000
344.900391,106.939384,-484.675842,1476.000000
345.807068,106.958862,-484.484497,1480.000000
349.359131,107.032982,-483.681610,1481.000000
350.227692,107.050476,-483.470642,1482.000000
351.091553,107.067459,-483.254517,1483.000000
355.285156,107.145737,-482.101837,1487.000000
356.102234,107.160355,-481.855560,1489.000000
357.712006,107.188408,-481.347412,1491.000000
360.068939,107.226669,-480.548035,1492.000000
360.837280,107.238617,-480.272186,1493.000000
361.598816,107.250290,-479.990845,1495.000000
364.568115,107.293930,-478.814209,1497.000000
365.289764,107.303978,-478.508301,1497.000000
366.003754,107.313568,-478.197754,1500.000000
368.097382,107.340622,-477.238586,1500.000000
368.779205,107.349258,-476.909729,1501.000000
369.451447,107.357658,-476.577209,1502.000000
